Titulo,Ano_lancamento,Genero,Vendas_Totais,Vendas_JP,Vendas_EUA,Vendas_Europa,Outras_Vendas
Fit & Fun,2011.0,Sports,0.01,0.0,0.0,0.01,0.0
Fit in Six,2011.0,Sports,0.25,0.0,0.23,0.0,0.02
Flag Capture,2006.0,Action,0.27,0.0,0.25,0.02,0.0
Flash Focus: Vision Training in Minutes a Day,2007.0,Misc,3.84,1.05,0.87,1.57,0.35
FlatOut,2004.0,Racing,0.55,0.0,0.31,0.19,0.06
FlatOut 2,2006.0,Racing,0.2,0.0,0.11,0.07,0.02
FlatOut: Head On,2008.0,Racing,0.29,0.0,0.13,0.11,0.06
FlatOut: Ultimate Carnage,2007.0,Racing,0.12,0.0,0.07,0.04,0.01
Flight Control Rocket,2005.0,Simulation,0.43,0.0,0.31,0.12,0.01
FlingSmash,2010.0,Action,0.48,0.07,0.38,0.01,0.02
Flip's Twisted World,2006.0,Platform,0.06,0.0,0.05,0.0,0.0
Flipnic: Ultimate Pinball,2003.0,Misc,0.06,0.0,0.03,0.02,0.01
Flipper Critters,2007.0,Simulation,0.03,0.0,0.03,0.0,0.0
Flow: Urban Dance Uprising,2005.0,Misc,0.04,0.0,0.02,0.01,0.0
"Flower, Sun, and Rain",2008.0,Adventure,0.07,0.0,0.07,0.0,0.01
Flushed Away,2006.0,Platform,0.26,0.0,0.21,0.03,0.01
Flying Dragon,1997.0,Fighting,0.1,0.0,0.08,0.02,0.0
Folklore,2007.0,Role-Playing,0.33,0.05,0.2,0.05,0.03
Food Network: Cook or Be Cooked,2009.0,Misc,0.44,0.0,0.41,0.0,0.03
Football Academy,2009.0,Sports,0.02,0.0,0.0,0.01,0.0
Football Director DS,2008.0,Sports,0.1,0.0,0.0,0.1,0.0
Football Manager 2005,2004.0,Sports,0.01,0.0,0.0,0.01,0.0
Football Manager 2007,2006.0,Sports,0.02,0.0,0.0,0.01,0.0
Football Manager 2010,2009.0,Sports,0.07,0.0,0.0,0.06,0.01
Football Manager 2011,2010.0,Sports,1.26,0.0,0.0,1.01,0.25
Football Manager 2012,2011.0,Sports,1.65,0.0,0.02,1.26,0.38
Football Manager 2013,2012.0,Sports,1.17,0.0,0.0,0.95,0.22
Football Manager 2014,2013.0,Sports,0.85,0.0,0.0,0.7,0.14
Football Manager 2015,2014.0,Simulation,0.48,0.0,0.0,0.43,0.05
Football Manager 2016,2015.0,Simulation,0.31,0.0,0.0,0.29,0.02
Football Manager Handheld 2008,2007.0,Sports,0.34,0.0,0.0,0.34,0.0
Football Manager Handheld 2009,2008.0,Sports,0.49,0.0,0.0,0.47,0.02
Football Manager Handheld 2010,2009.0,Sports,0.36,0.0,0.0,0.26,0.09
Football Manager Handheld 2011,2010.0,Sports,0.42,0.0,0.0,0.28,0.14
Football Manager Live,2009.0,Sports,0.01,0.0,0.0,0.01,0.0
Forbidden Siren 2,2006.0,Action,0.08,0.08,0.0,0.0,0.0
Ford Bold Moves Street Racing,2006.0,Racing,0.05,0.0,0.04,0.0,0.0
Ford Mustang: The Legend Lives,2005.0,Racing,0.38,0.0,0.21,0.13,0.04
Ford Racing,2001.0,Racing,0.86,0.0,0.48,0.33,0.06
Ford Racing 2,2003.0,Racing,1.15,0.0,0.6,0.41,0.14
Ford Racing 3,2004.0,Racing,0.51,0.0,0.33,0.14,0.04
Ford Racing Off Road,2008.0,Racing,0.82,0.0,0.21,0.56,0.06
Ford vs. Chevy,2005.0,Racing,0.3,0.0,0.17,0.11,0.03
Forever Kingdom,2001.0,Role-Playing,0.09,0.04,0.02,0.02,0.01
Forgotten Realms: Demon Stone,2004.0,Action,0.29,0.0,0.16,0.1,0.03
Formula 1,1996.0,Racing,0.76,0.42,0.18,0.12,0.05
Formula 1 06,2006.0,Racing,0.04,0.04,0.0,0.0,0.0
Formula 1 Championship Edition,1997.0,Racing,0.36,0.23,0.06,0.04,0.02
Formula 1: Championship Edition,2006.0,Racing,0.61,0.04,0.0,0.57,0.0
Formula One 2001,2001.0,Racing,0.26,0.0,0.13,0.1,0.03
Formula One World Championship: Beyond the Limit,1994.0,Racing,0.07,0.07,0.0,0.0,0.0
Forsaken,1998.0,Shooter,0.24,0.0,0.13,0.09,0.02
Fortress,2001.0,Action,0.32,0.0,0.23,0.08,0.01
Fortune Street,2011.0,Misc,0.5,0.17,0.27,0.04,0.02
Forza Horizon,2012.0,Racing,2.02,0.04,0.82,0.98,0.18
Forza Horizon 2,2014.0,Racing,2.22,0.01,0.85,1.21,0.16
Forza Horizon 3,2016.0,Racing,0.38,0.0,0.15,0.2,0.03
Forza Motorsport,2005.0,Racing,1.05,0.0,0.52,0.51,0.02
Forza Motorsport 2,2007.0,Racing,4.06,0.03,2.35,1.28,0.41
Forza Motorsport 3,2009.0,Racing,5.51,0.1,2.99,1.92,0.51
Forza Motorsport 3: Ultimate Edition,2010.0,Racing,0.05,0.0,0.0,0.04,0.01
Forza Motorsport 4,2011.0,Racing,4.64,0.06,2.08,2.04,0.47
Forza Motorsport 5,2013.0,Racing,2.18,0.01,1.21,0.78,0.17
Forza Motorsport 6,2015.0,Racing,1.74,0.03,0.69,0.89,0.14
Fossil Fighters,2008.0,Role-Playing,0.9,0.0,0.84,0.0,0.06
Fossil Fighters (JP sales),2008.0,Role-Playing,0.3,0.3,0.0,0.0,0.0
Fossil Fighters: Champions,2010.0,Role-Playing,0.68,0.34,0.32,0.0,0.02
Fossil Fighters: Frontier,2014.0,Role-Playing,0.35,0.23,0.08,0.04,0.01
Foster's Home for Imaginary Friends: Imagination Invaders,2007.0,Adventure,0.06,0.0,0.06,0.0,0.0
Foto Frenzy: Spot The Diffrence,2009.0,Puzzle,0.31,0.0,0.29,0.0,0.02
Foto Showdown,2010.0,Role-Playing,0.03,0.0,0.03,0.0,0.0
Fox Sports College Hoops '99,1998.0,Sports,0.25,0.0,0.2,0.05,0.0
Fox Sports Golf '99,1997.0,Sports,0.14,0.0,0.08,0.05,0.01
FoxKids.com Micro Maniacs Racing,2000.0,Racing,0.11,0.0,0.06,0.04,0.01
Fracture,2008.0,Shooter,0.5,0.0,0.26,0.18,0.06
Fragile Dreams: Farewell Ruins of the Moon,2009.0,Role-Playing,0.38,0.06,0.17,0.12,0.03
Frank Thomas Big Hurt Baseball,1996.0,Sports,0.14,0.0,0.08,0.05,0.01
Frankenstein's Monster,1982.0,Action,0.32,0.0,0.3,0.02,0.0
Franklin the Turtle,2005.0,Misc,0.03,0.0,0.02,0.01,0.0
Franklin's Great Adventures,2006.0,Action,0.02,0.0,0.02,0.0,0.0
Franklin: A Birthday Surprise,2006.0,Misc,0.02,0.0,0.01,0.01,0.0
Frantix,2005.0,Puzzle,0.08,0.0,0.08,0.0,0.01
Freaky Flyers,2003.0,Racing,0.14,0.0,0.08,0.05,0.01
Freddi Fish: ABC under the sea,2008.0,Misc,0.13,0.0,0.13,0.0,0.01
Freddi Fish: Kelp Seed Mystery,2008.0,Adventure,0.07,0.0,0.06,0.0,0.0
Free Running,2009.0,Sports,0.04,0.0,0.02,0.02,0.0
Freedom Fighters,2003.0,Shooter,0.88,0.0,0.52,0.28,0.08
Freedom Wars,2014.0,Role-Playing,0.77,0.32,0.22,0.14,0.1
Freedom Wings,2006.0,Simulation,0.02,0.0,0.02,0.0,0.0
Freekstyle,2002.0,Racing,1.16,0.0,0.6,0.43,0.14
Freelancer,2003.0,Simulation,0.05,0.0,0.02,0.02,0.01
Freestyle Metal X,2003.0,Racing,0.13,0.0,0.07,0.03,0.01
Freeway,1980.0,Action,0.34,0.0,0.32,0.02,0.0
Frequency,2001.0,Misc,0.19,0.0,0.09,0.07,0.02
Fresh PreCure! Asobi Collection,2009.0,Action,0.09,0.09,0.0,0.0,0.0
Freshly-Picked: Tingle's Rosy Rupeeland,2006.0,Role-Playing,0.25,0.24,0.0,0.01,0.0
Friend Collection,2009.0,Misc,3.67,3.67,0.0,0.0,0.0
Friends: The One with All the Trivia,2005.0,Misc,0.06,0.0,0.03,0.02,0.01
Frisbee Disc Freestyle / Frisbee Disc Golf,2007.0,Sports,0.02,0.0,0.02,0.0,0.0
Fritz Chess,2009.0,Strategy,0.08,0.0,0.04,0.04,0.01
Frogger,1981.0,Action,6.36,0.0,5.85,0.39,0.13
Frogger 2: Swampy's Revenge,1999.0,Action,1.43,0.0,0.8,0.54,0.09
Frogger 3D,2011.0,Action,0.2,0.0,0.16,0.03,0.01
Frogger Advance: The Great Quest,2002.0,Action,0.07,0.0,0.05,0.02,0.0
Frogger Beyond,2002.0,Platform,0.21,0.0,0.16,0.05,0.0
Frogger II: Threeedeep!,1983.0,Action,0.33,0.0,0.31,0.02,0.0
Frogger's Adventures 2: The Lost Wand,2002.0,Adventure,0.19,0.0,0.14,0.05,0.0
Frogger's Adventures: Temple of the Frog,2006.0,Adventure,2.39,0.0,2.15,0.18,0.07
Frogger's Adventures: The Rescue,2003.0,Platform,0.47,0.0,0.28,0.15,0.04
Frogger's Journey: The Forgotten Relic,2003.0,Action,0.26,0.0,0.18,0.07,0.0
Frogger: Ancient Shadow,2005.0,Platform,0.18,0.0,0.11,0.06,0.01
Frogger: Helmet Chaos,2005.0,Platform,0.17,0.0,0.16,0.0,0.01
Frogger: The Great Quest,2001.0,Platform,1.23,0.0,0.6,0.47,0.16
Frogs And Flies,1981.0,Action,0.36,0.0,0.33,0.02,0.0
From Russia With Love,2005.0,Action,0.91,0.0,0.73,0.1,0.09
From TV Animation One Piece: Grand Battle 2,2002.0,Fighting,0.6,0.56,0.0,0.0,0.04
From TV Animation One Piece: Grand Battle! 3,2003.0,Fighting,0.52,0.52,0.0,0.0,0.01
From TV Animation One Piece: Tobidase Kaizokudan!,2001.0,Role-Playing,0.35,0.32,0.0,0.0,0.02
From TV Animation One Piece: Treasure Battle!,2002.0,Fighting,0.29,0.28,0.0,0.0,0.01
From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,2001.0,Role-Playing,0.39,0.39,0.0,0.0,0.0
From The Abyss,2008.0,Role-Playing,0.06,0.0,0.06,0.0,0.0
Front Line,1981.0,Action,0.24,0.0,0.22,0.01,0.0
Front Mission,1995.0,Strategy,0.64,0.63,0.01,0.0,0.0
Front Mission 2,1997.0,Strategy,0.53,0.49,0.0,0.0,0.03
Front Mission 2089: Border of Madness,2008.0,Strategy,0.05,0.05,0.0,0.0,0.0
Front Mission 3,1999.0,Strategy,0.52,0.31,0.1,0.07,0.03
Front Mission 4,2003.0,Strategy,0.54,0.25,0.14,0.11,0.04
Front Mission 5: Scars of the War,2005.0,Strategy,0.21,0.21,0.0,0.0,0.0
Front Mission Alternative,1997.0,Strategy,0.14,0.13,0.0,0.0,0.01
Front Mission Evolved,2010.0,Shooter,0.54,0.13,0.24,0.14,0.05
Front Mission: Gun Hazard,1996.0,Role-Playing,0.24,0.24,0.0,0.0,0.0
Frontier Gate,2011.0,Role-Playing,0.11,0.11,0.0,0.0,0.0
Frontlines: Fuel of War,2008.0,Shooter,0.58,0.01,0.34,0.17,0.05
Frostbite,1983.0,Action,0.34,0.0,0.32,0.02,0.0
Frozen: Olaf's Quest,2013.0,Platform,1.27,0.0,0.55,0.61,0.11
Fuel,2009.0,Racing,0.58,0.0,0.17,0.33,0.09
Fugitive Hunter: War on Terror,2003.0,Shooter,0.15,0.0,0.07,0.06,0.02
Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,2014.0,Action,0.01,0.01,0.0,0.0,0.0
Full Auto,2006.0,Shooter,0.22,0.0,0.19,0.01,0.02
Full Auto 2: Battlelines,2006.0,Racing,0.19,0.0,0.14,0.03,0.02
Full House Kiss 2,2006.0,Adventure,0.02,0.02,0.0,0.0,0.0
Full Spectrum Warrior,2004.0,Strategy,1.03,0.0,0.69,0.27,0.07
Full Spectrum Warrior: Ten Hammers,2006.0,Strategy,0.12,0.0,0.06,0.03,0.01
Fullmetal Alchemist 2: Curse of the Crimson Elixir,2004.0,Role-Playing,0.27,0.0,0.13,0.1,0.03
Fullmetal Alchemist and the Broken Angel,2003.0,Role-Playing,0.56,0.26,0.15,0.12,0.04
Fullmetal Alchemist: Brotherhood,2006.0,Action,0.03,0.03,0.0,0.0,0.0
Fullmetal Alchemist: Dual Sympathy,2005.0,Role-Playing,0.09,0.04,0.05,0.0,0.0
Fullmetal Alchemist: Prince of the Dawn,2009.0,Adventure,0.01,0.01,0.0,0.0,0.0
Fullmetal Alchemist: Trading Card Game,2007.0,Misc,0.01,0.0,0.01,0.0,0.0
FunkMaster Flex's Digital Hitz Factory,2003.0,Misc,0.04,0.0,0.02,0.01,0.0
Funky Barn,2012.0,Simulation,0.11,0.0,0.07,0.03,0.01
Fur Fighters: Viggo's Revenge,2001.0,Action,0.14,0.0,0.07,0.05,0.02
Furious Karting,2003.0,Racing,0.01,0.0,0.01,0.0,0.0
Furu Furu Park,2007.0,Misc,0.05,0.0,0.05,0.0,0.0
Fuse (Insomniac),2013.0,Shooter,0.25,0.0,0.14,0.08,0.03
Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,2000.0,Role-Playing,0.37,0.32,0.0,0.0,0.05
Fushigi no Dungeon: Fuurai no Shiren 3 Portable,2010.0,Role-Playing,0.05,0.05,0.0,0.0,0.0
Fushigi no Dungeon: Fuurai no Shiren 5 - Fortune Tower to Unmei no Dice,2010.0,Role-Playing,0.04,0.04,0.0,0.0,0.0
Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,1996.0,Role-Playing,0.27,0.27,0.0,0.0,0.0
Fushigi? Kagaku: Nazotoki Quiz Training - NazoTore,2008.0,Misc,0.05,0.05,0.0,0.0,0.0
Futurama,2003.0,Platform,0.12,0.0,0.07,0.04,0.01
Future Card Buddy Fight: Yuujou no Bakunetsu Fight,2015.0,Action,0.07,0.07,0.0,0.0,0.0
Future Cop L.A.P.D.,1997.0,Simulation,0.3,0.0,0.16,0.11,0.02
Future Tactics: The Uprising,2004.0,Strategy,0.12,0.0,0.07,0.04,0.01
Fuun Shinsengumi Bakumatsuden Portable,2009.0,Action,0.01,0.0,0.01,0.0,0.0
Fuuraiki 3,2015.0,Action,0.01,0.01,0.0,0.0,0.0
Fuzion Frenzy,2001.0,Misc,1.21,0.0,0.93,0.24,0.04
Fuzion Frenzy 2,2007.0,Misc,0.17,0.0,0.14,0.01,0.01
G Darius,1997.0,Shooter,0.07,0.0,0.04,0.03,0.0
G-Force,2009.0,Action,2.02,0.0,1.06,0.62,0.34
G-Police,1997.0,Action,0.24,0.0,0.13,0.09,0.02
G-Police: Weapons of Justice,1999.0,Action,0.06,0.0,0.03,0.02,0.0
G-Saviour,2000.0,Action,0.07,0.07,0.0,0.0,0.0
G.I. Joe: The Rise of Cobra,2009.0,Action,1.09,0.0,0.78,0.18,0.13
G1 Grand Prix,2012.0,Action,0.05,0.05,0.0,0.0,0.0
G1 Jockey 2,2000.0,Sports,0.06,0.06,0.0,0.0,0.0
G1 Jockey 3,2002.0,Sports,0.1,0.07,0.02,0.01,0.0
G1 Jockey 4 2007,2007.0,Sports,0.01,0.01,0.0,0.0,0.0
G1 Jockey 4 2008,2008.0,Sports,0.01,0.0,0.0,0.01,0.0
G1 Jockey Wii,2007.0,Sports,0.02,0.02,0.0,0.01,0.0
GA - Geijutsuka Art Design Class: Slapstick Wonder Land,2010.0,Adventure,0.02,0.02,0.0,0.0,0.0
GOTHA: Ismailia Seneki,1995.0,Strategy,0.08,0.08,0.0,0.0,0.0
GRID,2006.0,Racing,2.09,0.04,0.68,1.05,0.3
GRID 2,2013.0,Racing,0.75,0.01,0.15,0.46,0.13
GRID Autosport,2014.0,Racing,0.34,0.01,0.08,0.19,0.05
GT Advance 2: Rally Racing,2001.0,Racing,0.11,0.0,0.08,0.03,0.0
GT Advance 3: Pro Concept Racing,2002.0,Racing,0.08,0.0,0.05,0.02,0.0
GT Advance Championship Racing,2001.0,Racing,0.33,0.0,0.24,0.09,0.01
GT Legends,2005.0,Racing,0.02,0.0,0.0,0.02,0.0
GT Pro Series,2006.0,Racing,0.52,0.02,0.46,0.01,0.04
GT64 Championship Edition,1998.0,Racing,0.1,0.0,0.08,0.02,0.0
GTI Club: Supermini Festa!,2010.0,Racing,0.02,0.0,0.01,0.0,0.0
GTR Evolution,2008.0,Racing,0.03,0.0,0.0,0.02,0.01
Gabrielle's Ghostly Groove 3D,2011.0,Adventure,0.11,0.0,0.08,0.02,0.01
Gacharoku,2002.0,Misc,0.03,0.03,0.0,0.0,0.0
GachiTora! Abarenbou Kyoushi in High School,2011.0,Action,0.05,0.05,0.0,0.0,0.0
Gadget Racers,2000.0,Racing,0.08,0.0,0.04,0.03,0.01
Gadget Racers (PAL),2002.0,Racing,0.02,0.02,0.0,0.0,0.0
Gaia Saver Hero Saidai no Sakusen,1994.0,Role-Playing,0.03,0.03,0.0,0.0,0.0
Gaist Crusher,2013.0,Action,0.05,0.05,0.0,0.0,0.0
Gaist Crusher God,2014.0,Action,0.02,0.02,0.0,0.0,0.0
Gakken DS: Shin TOEIC Test Kanzen Kouryaku,2007.0,Misc,0.02,0.02,0.0,0.0,0.0
Gaku ? Ou: The Royal Seven Stars,2012.0,Role-Playing,0.02,0.02,0.0,0.0,0.0
Gakuen Alice: WakuWaku * Happy Friends,2007.0,Adventure,0.03,0.03,0.0,0.0,0.0
Gakuen Hetalia,2012.0,Adventure,0.01,0.01,0.0,0.0,0.0
Gakuen Hetalia Portable,2011.0,Adventure,0.04,0.04,0.0,0.0,0.0
Gakuen K: Wonderful School Days,2014.0,Adventure,0.02,0.02,0.0,0.0,0.0
Gakusen Toshi Asterisk Festa: Houka Kenran,2016.0,Fighting,0.03,0.03,0.0,0.0,0.0
Gal Gun,2012.0,Shooter,0.02,0.02,0.0,0.0,0.0
Gal Gun: Double Peace,2015.0,Action,0.03,0.01,0.0,0.02,0.0
Gal*Gun,2011.0,Shooter,0.04,0.04,0.0,0.0,0.0
Galactic Attack,1994.0,Shooter,0.25,0.25,0.0,0.0,0.0
Galactic Taz Ball,2010.0,Platform,0.09,0.0,0.09,0.0,0.01
Galactic Wrestling: Featuring Ultimate Muscle,2004.0,Fighting,0.22,0.17,0.03,0.02,0.01
Galaga: Destination Earth,2000.0,Shooter,0.24,0.0,0.13,0.09,0.02
Galaxian,1982.0,Shooter,0.77,0.0,0.72,0.05,0.01
Galaxy Angel II: Eigou Kaiki no Koku,2009.0,Strategy,0.02,0.02,0.0,0.0,0.0
Galaxy Angel II: Mugen Kairou no Kagi,2007.0,Strategy,0.03,0.03,0.0,0.0,0.0
Galaxy Angel II: Zettairyouiki no Tobira,2006.0,Strategy,0.03,0.03,0.0,0.0,0.0
Galaxy Fight,1994.0,Fighting,0.04,0.04,0.0,0.0,0.0
Galaxy Racers,2010.0,Racing,0.05,0.0,0.04,0.0,0.0
Gale Racer,1994.0,Racing,0.07,0.07,0.0,0.0,0.0
Galerians,1999.0,Adventure,0.15,0.0,0.08,0.06,0.01
Galerians: Ash,2002.0,Adventure,0.07,0.0,0.03,0.03,0.01
Galidor: Defenders of the Outer Dimension,2002.0,Action,0.12,0.0,0.09,0.03,0.0
Galileo,2008.0,Adventure,0.03,0.03,0.0,0.0,0.0
Galleon: Islands of Mystery,2004.0,Action,0.03,0.0,0.02,0.01,0.0
Gallop & Ride!,2008.0,Sports,0.15,0.0,0.14,0.0,0.01
Gallop Racer,1999.0,Sports,0.19,0.18,0.0,0.0,0.01
Gallop Racer (JP),1996.0,Sports,0.24,0.16,0.04,0.03,0.02
Gallop Racer 2000,2000.0,Sports,0.12,0.11,0.0,0.0,0.01
Gallop Racer 2001,2001.0,Sports,0.17,0.06,0.05,0.04,0.01
Gallop Racer 2003: A New Breed,2002.0,Sports,0.21,0.12,0.04,0.03,0.01
Gallop Racer 2004,2004.0,Sports,0.06,0.0,0.03,0.02,0.01
Gallop Racer 2006,2005.0,Sports,0.1,0.06,0.02,0.02,0.01
Gallop Racer 2: One and Only Road to Victory,1997.0,Sports,0.27,0.25,0.0,0.0,0.02
Gallop Racer Inbreed,2006.0,Sports,0.02,0.02,0.0,0.0,0.0
Gambler Densetsu Tetsuya,2001.0,Adventure,0.07,0.07,0.0,0.0,0.0
Game & Wario,2013.0,Misc,0.24,0.11,0.06,0.06,0.01
Game & Watch Gallery,1997.0,Misc,1.0,0.09,0.63,0.25,0.03
Game & Watch Gallery 2,1997.0,Misc,1.22,0.12,0.76,0.3,0.04
Game & Watch Gallery 3,1999.0,Misc,1.22,0.08,0.79,0.31,0.04
Game & Watch Gallery 4,2002.0,Misc,0.61,0.0,0.43,0.16,0.01
Game Book DS: Sword World 2.0,2009.0,Role-Playing,0.01,0.01,0.0,0.0,0.0
Game Center CX: 3-Choume no Arino,2014.0,Action,0.06,0.06,0.0,0.0,0.0
Game Center CX: Arino no Chousenjou 2,2009.0,Action,0.07,0.07,0.0,0.0,0.0
Game Hits!,2010.0,Misc,0.09,0.0,0.07,0.01,0.01
Game Party,2007.0,Misc,2.52,0.0,1.5,0.78,0.24
Game Party 2,2008.0,Misc,1.91,0.0,1.3,0.44,0.17
Game Party 3,2009.0,Puzzle,1.71,0.0,1.43,0.16,0.12
Game Party in Motion,2010.0,Misc,0.59,0.0,0.36,0.18,0.05
Game Party: Champions,2012.0,Action,0.14,0.0,0.09,0.03,0.01
Game de Hakken!! Tamagotchi 2,1997.0,Simulation,1.45,1.44,0.0,0.0,0.01
Game no Kanzume Vol 1,1994.0,Misc,0.05,0.04,0.0,0.0,0.0
Game no Kanzume Vol 2,1994.0,Misc,0.05,0.05,0.0,0.0,0.0
Game of Thrones,2012.0,Role-Playing,0.59,0.0,0.25,0.26,0.07
Game of Thrones (Telltale),2015.0,Adventure,0.17,0.0,0.11,0.04,0.02
GameBoy Wars,1991.0,Strategy,0.18,0.18,0.0,0.0,0.0
Gameboy Gallery,1995.0,Misc,0.3,0.3,0.0,0.0,0.0
Games Around the World,2010.0,Misc,0.01,0.0,0.01,0.0,0.0
Games Explosion!,2006.0,Action,0.02,0.0,0.01,0.0,0.0
Ganbare Goemon 2: Kiteretsu Shougun Magginesu,1993.0,Platform,0.31,0.31,0.0,0.0,0.0
Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,1994.0,Platform,0.36,0.36,0.0,0.0,0.0
Ganbare Goemon! Karakuri Douchuu,1986.0,Platform,1.2,1.2,0.0,0.0,0.0
Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,1995.0,Platform,0.31,0.31,0.0,0.0,0.0
Ganbare Goemon: Toukai Douchuu Ooedo Tengurigaeshi no Maki,2005.0,Action,0.03,0.03,0.0,0.0,0.0
Ganbaru Watashi no Kakei Diary,2007.0,Misc,0.61,0.61,0.0,0.0,0.0
Gangs of London,2006.0,Adventure,0.96,0.0,0.3,0.44,0.22
Gardening Guide: How to get Green Fingers,2009.0,Misc,0.01,0.0,0.0,0.01,0.0
Gardening Mama,2009.0,Puzzle,1.38,0.01,0.8,0.43,0.13
Garfield Gets Real,2009.0,Action,0.02,0.0,0.0,0.02,0.0
Garfield's Fun Fest,2008.0,Platform,0.13,0.0,0.07,0.04,0.01
Garfield's Nightmare,2007.0,Platform,0.02,0.0,0.01,0.0,0.0
Garfield: A Tale of Two Kitties,2006.0,Platform,0.03,0.0,0.03,0.0,0.0
Garfield: Lasagna World Tour,2007.0,Action,0.17,0.0,0.08,0.06,0.02
Garfield: The Search for Pooky,2003.0,Platform,0.04,0.0,0.03,0.01,0.0
Garou Densetsu 3: Road to the Final Victory,1996.0,Fighting,0.05,0.05,0.0,0.0,0.0
Gauntlet,1982.0,Action,0.5,0.0,0.46,0.03,0.01
Gauntlet / Rampart,2005.0,Misc,0.03,0.0,0.02,0.01,0.0
Gauntlet Legends,1999.0,Action,1.01,0.0,0.69,0.28,0.04
Gauntlet: Dark Legacy,2002.0,Action,1.5,0.0,0.83,0.52,0.16
Gauntlet: Seven Sorrows,2005.0,Role-Playing,0.58,0.0,0.34,0.19,0.06
Gears of War,2006.0,Shooter,6.13,0.07,3.54,1.91,0.6
Gears of War 2,2008.0,Shooter,6.76,0.06,4.15,1.92,0.64
Gears of War 3,2011.0,Shooter,6.24,0.07,4.05,1.62,0.49
Gears of War: Judgment,2013.0,Shooter,1.61,0.03,0.92,0.53,0.13
Gears of War: Ultimate Edition,2015.0,Shooter,3.0,0.0,2.38,0.32,0.31
Gegege no Kitarou 2: Youkai Gundan no Chousen,1987.0,Role-Playing,1.25,1.25,0.0,0.0,0.0
Gegege no Kitarou: Youkai Daigekisen,2008.0,Action,0.06,0.06,0.0,0.0,0.0
Geist,2005.0,Adventure,0.15,0.0,0.11,0.03,0.0
Gekiatsu!! Pachi Game Tamashi Max: Evangelion 7 x Seimei no Kodou,2012.0,Misc,0.03,0.03,0.0,0.0,0.0
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,2011.0,Misc,0.03,0.03,0.0,0.0,0.0
Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,2011.0,Misc,0.03,0.03,0.0,0.0,0.0
Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin,2010.0,Misc,0.03,0.03,0.0,0.0,0.0
Gekido,1999.0,Fighting,0.1,0.0,0.06,0.04,0.01
Gekido Advance: Kintaro's Revenge,2002.0,Action,0.03,0.0,0.02,0.01,0.0
Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack,2010.0,Action,0.21,0.21,0.0,0.0,0.0
Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,2011.0,Action,0.22,0.22,0.0,0.0,0.0
Gekijouban Madoka Magicka: The Battle Pentagram,2013.0,Action,0.08,0.08,0.0,0.0,0.0
Gekikuukan Pro Yakyuu: At the End of the Century 1999,2000.0,Sports,0.54,0.54,0.0,0.0,0.0
Gekka Ryouran Romance,2011.0,Adventure,0.02,0.02,0.0,0.0,0.0
Gem Quest: 4 Elements,2011.0,Puzzle,0.11,0.0,0.05,0.05,0.01
Gem Smashers,2011.0,Platform,0.1,0.0,0.09,0.0,0.0
Generation of Chaos,2005.0,Role-Playing,0.06,0.0,0.05,0.0,0.0
Generator Rex: Agent of Providence,2011.0,Action,0.39,0.0,0.29,0.06,0.04
Genji: Dawn of the Samurai,2005.0,Action,0.23,0.0,0.11,0.09,0.03
Genji: Days of the Blade,2006.0,Action,0.76,0.06,0.18,0.38,0.14
Genkai Tokki Monster Monpiece,2013.0,Strategy,0.06,0.06,0.0,0.0,0.0
Genkai Tokki: Moero Crystal,2015.0,Role-Playing,0.06,0.06,0.0,0.0,0.0
Genkai Tokki: Seven Pirates,2016.0,Role-Playing,0.02,0.02,0.0,0.0,0.0
Genkai Totsuki Moero Chronicle,2014.0,Role-Playing,0.08,0.08,0.0,0.0,0.0
Genma Onimusha,2002.0,Action,0.24,0.05,0.14,0.04,0.01
Genroh,2012.0,Action,0.02,0.02,0.0,0.0,0.0
Gensou Suikoden I & II,2006.0,Role-Playing,0.03,0.03,0.0,0.0,0.0
Geometry Wars: Galaxies,2007.0,Shooter,0.28,0.0,0.24,0.0,0.02
Geon Cube,2009.0,Puzzle,0.02,0.0,0.02,0.0,0.0
George of the Jungle and the Search for the Secret,2008.0,Platform,0.07,0.0,0.07,0.0,0.0
Germany's Next Topmodel 2011,2011.0,Simulation,0.04,0.0,0.0,0.03,0.0
Get Fit with Mel B,2010.0,Sports,0.55,0.0,0.18,0.29,0.09
Get On Da Mic,2004.0,Misc,0.15,0.0,0.07,0.06,0.02
Get Up and Dance,2011.0,Misc,0.16,0.0,0.09,0.05,0.01
Geten no Hana,2013.0,Misc,0.02,0.02,0.0,0.0,0.0
